Cofactor,LUMO,dG_C4,dG_C5,N1_NBO-q,Nsub_NBO-q,C2_NBO-q,C3_NBO-q,C3sub_NBO-q,C4_NBO-q,C5_NBO-q,C6_NBO-q,N1_f+,Nsub_f+,C2_f+,C3_f+,C4_f+,C5_f+,C6_f+,N1_f-,Nsub_f-,C2_f-,C3_f-,C3sub_f-,C4_f-,C5_f-,C6_f-,C4H_f-,C4H_f+,C4H_NBO-q,Set
B5a,-0.047,-35.06559222,-140.9289558,-0.39431,-0.21552,0.03814,-0.23592,0.71845,-0.46296,-0.26888,-0.04546,-0.00436,-0.00517,0.24806,0.12251,-0.01665,0.15232,0.07753,0.20927,-0.02049,-0.00651,0.21911,-0.02072,-0.05982,0.18759,0.0184,0.085365,0.023915,0.21349,Validation
B5b,-0.0426,-33.75448034,-137.7867638,-0.38916,-0.21593,0.04694,-0.25284,0.71817,-0.45637,-0.03258,-0.06164,0.00094,-0.00539,0.2409,0.1141,-0.01903,0.13101,0.07092,0.19897,-0.02088,-0.01674,0.22739,-0.02017,-0.06201,0.16613,0.02694,0.08484,0.024705,0.209615,Validation
B3a,-0.0483,-44.88259916,-133.1344808,-0.36249,-0.2176,0.12102,-0.25724,0.53864,-0.46399,-0.22506,-0.05519,0.02635,-0.00628,0.25557,0.00187,-0.0112,0.12531,0.02332,0.1749,-0.0184,-0.02443,0.229,0.00207,-0.05892,0.15936,0.03213,0.08372,0.022425,0.22301,Validation
B3b,-0.0454,-44.81693054,-128.9028692,-0.35408,-0.21711,0.10828,-0.24444,0.52774,-0.45802,0.00233,-0.07113,0.03355,-0.00628,0.24736,-0.00463,-0.01192,0.10885,0.01377,0.16725,-0.01797,-0.0287,0.2101,0.00974,-0.05689,0.15456,0.04835,0.08129,0.023515,0.220575,Validation
B4a,-0.0379,-48.59091236,-128.8471929,-0.3607,-0.21874,0.12147,-0.23638,0.35005,-0.46946,-0.22553,-0.05121,0.0236,-0.00759,0.2494,-0.00371,-0.00956,0.13438,0.02212,0.17202,-0.01702,-0.02367,0.19584,0.01577,-0.05226,0.17339,0.03937,0.08118,0.02409,0.227425,Training
B4b,-0.0348,-49.55232986,-123.6353216,-0.34925,-0.21855,0.11913,-0.24027,0.34676,-0.46609,0.00243,-0.06584,0.03151,-0.00775,0.24724,-0.00956,-0.01096,0.11648,0.01195,0.15963,-0.01582,-0.02599,0.1897,0.01837,-0.05276,0.16016,0.0533,0.07888,0.02514,0.22547,Training
B6a,-0.0298,-44.48140509,-133.1842389,-0.37166,-0.21717,0.10353,-0.25738,0.7402,-0.45596,-0.23385,-0.05269,0.01492,-0.00602,0.25429,0.04604,-0.01294,0.14144,0.04299,0.18585,-0.01955,-0.02419,0.22415,-0.00622,-0.05761,0.17295,0.03414,0.085475,0.023545,0.2218,Validation
B6b,-0.0266,-44.04990888,-129.9416957,-0.36067,-0.21673,0.10288,-0.26374,0.73863,-0.45178,-0.00468,-0.06776,0.02329,-0.00611,0.25633,0.03775,-0.01442,0.11997,0.03054,0.1749,-0.01878,-0.02735,0.21957,-0.00395,-0.05845,0.15888,0.04689,0.083385,0.024005,0.21951,Training
D1a,-0.0332,-43.42723581,-134.4758378,-0.38016,-0.2162,0.09007,-0.24407,0.61858,-0.47102,-0.24317,-0.04727,0.0061,-0.00575,0.24986,0.07329,-0.01594,0.14785,0.05815,0.19453,-0.02022,-0.02161,0.22894,-0.01649,-0.06079,0.17738,0.02613,0.085025,0.02369,0.21999,Training
D1b,-0.0293,-33.97419582,-131.7221079,-0.37024,-0.21577,0.09011,-0.2507,0.61801,-0.46665,-0.01281,-0.06215,0.01427,-0.00578,0.25418,0.06491,-0.01754,0.12297,0.04371,0.18527,-0.01965,-0.02619,0.22588,-0.01465,-0.06167,0.16234,0.03724,0.08331,0.02408,0.21759,Training
D2a,-0.0139,-48.64712527,-131.3903008,-0.37548,-0.21651,0.10802,-0.2826,0.32393,-0.442,-0.23998,-0.04789,0.00571,-0.00615,0.25804,0.0974,-0.01553,0.16267,0.0704,0.19176,-0.01984,-0.01816,0.22206,-0.02278,-0.05494,0.17772,0.02928,0.082675,0.024845,0.224755,Training
D2b,-0.0458,-47.83309612,-128.1207745,-0.36534,-0.21592,0.10698,-0.2894,0.32401,-0.43802,-0.01007,-0.06312,0.01345,-0.00625,0.26329,0.09139,-0.01758,0.13753,0.05653,0.18134,-0.01926,-0.02218,0.21888,-0.02123,-0.05607,0.1633,0.04171,0.08114,0.025665,0.222255,Training
D5a,-0.0469,-35.19656184,-141.4348934,-0.39803,-0.22033,0.04927,-0.24904,0.72222,-0.46074,-0.26225,-0.04675,-0.00667,-0.00412,0.23204,0.11513,-0.01725,0.16607,0.08618,0.20273,-0.02205,-0.01152,0.23301,-0.02228,-0.06166,0.17954,0.01539,0.08683,0.024345,0.211245,Training
D5b,-0.0305,-34.23718449,-138.3884581,-0.38929,-0.2199,0.05071,-0.25678,0.72204,-0.45563,-0.03056,-0.06128,0.00096,-0.00414,0.24025,0.10818,-0.01915,0.133,0.06959,0.19668,-0.02155,-0.01823,0.23186,-0.02105,-0.06286,0.16373,0.02529,0.08532,0.02464,0.20875,Training
D3a,-0.0383,-45.91144079,-132.1570431,-0.36027,-0.21532,0.10694,-0.23546,0.53075,-0.46181,-0.23006,-0.05336,0.02535,-0.00612,0.25538,0.00198,-0.01032,0.12395,0.02219,0.18003,-0.0181,-0.02388,0.21039,0.00775,-0.05606,0.17129,0.03563,0.083145,0.02249,0.222475,Training
D3b,-0.044,-44.58583014,-129.4574604,-0.35572,-0.2168,0.10647,-0.24477,0.52807,-0.46114,0.00352,-0.07098,0.03466,-0.00584,0.24571,-0.00549,-0.01196,0.10727,0.01237,0.16758,-0.01766,-0.02885,0.20917,0.00929,-0.05791,0.15495,0.04776,0.08089,0.02321,0.22197,Training
D4a,-0.0334,-50.02826866,-127.1578868,-0.35897,-0.2176,0.12518,-0.24241,0.34944,-0.47025,-0.21733,-0.05741,0.02609,-0.00652,0.24284,-0.00477,-0.00977,0.13511,0.0256,0.17152,-0.01782,-0.02517,0.20423,0.01485,-0.05195,0.16323,0.03954,0.08081,0.02467,0.22818,Validation
D4b,-0.0348,-50.35464358,-123.0531269,-0.34743,-0.21737,0.12291,-0.24602,0.34622,-0.46695,0.01058,-0.07297,0.03428,-0.00668,0.24106,-0.01054,-0.01108,0.11653,0.01491,0.15964,-0.01712,-0.02755,0.1979,0.01729,-0.0524,0.15163,0.05372,0.07861,0.025715,0.22624,Training
D6a,-0.0272,-44.69486338,-133.0679294,-0.3666,-0.21516,0.10051,-0.25265,0.74024,-0.45608,-0.23786,-0.05023,0.01512,-0.00585,0.26313,0.04671,-0.01269,0.13803,0.03983,0.18756,-0.01884,-0.02202,0.21876,-0.00571,-0.0573,0.17688,0.03425,0.084965,0.02311,0.221725,Validation
C1a,-0.047,-43.60052612,-134.1968375,-0.3751,-0.21343,0.0861,-0.23815,0.61852,-0.47106,-0.24656,-0.0452,0.00633,-0.00545,0.26117,0.07427,-0.01565,0.14346,0.05369,0.19585,-0.01995,-0.01886,0.2231,-0.01594,-0.06032,0.18192,0.02725,0.08469,0.023285,0.22023,Training
C1b,-0.0191,-42.98745148,-130.1276251,-0.36519,-0.21401,0.08625,-0.24497,0.61793,-0.46673,-0.01644,-0.05969,0.0143,-0.00555,0.26478,0.06572,-0.01728,0.11954,0.03989,0.1866,-0.01896,-0.0238,0.21953,-0.01406,-0.06129,0.16697,0.03866,0.08309,0.02364,0.21767,Validation
C2a,-0.0295,-50.4762049,-129.2166825,-0.37542,-0.21636,0.10751,-0.28238,0.3238,-0.44194,-0.23952,-0.04785,0.0057,-0.00611,0.25865,0.09755,-0.01562,0.16308,0.07068,0.19135,-0.02005,-0.01769,0.22261,-0.02283,-0.05509,0.17769,0.02973,0.08286,0.02483,0.22474,Training
C2b,-0.0113,-48.24124926,-126.756695,-0.36551,-0.21591,0.10625,-0.28903,0.32403,-0.4381,-0.00955,-0.06343,0.01347,-0.00614,0.26364,0.0916,-0.01769,0.13795,0.05684,0.18103,-0.01948,-0.02198,0.21926,-0.02126,-0.05622,0.16337,0.0422,0.08126,0.02568,0.222345,Training
C5a,-0.0363,-35.53469657,-139.4694081,-0.40352,-0.21946,0.02152,-0.22615,0.71746,-0.46531,-0.27297,-0.03944,-0.00882,-0.00515,0.23948,0.12747,-0.01763,0.1529,0.07534,0.20798,-0.02297,-0.01521,0.21198,-0.02033,-0.06133,0.19787,0.0149,0.087415,0.02434,0.213865,Training
C5b,-0.0381,-34.14207788,-136.1003039,-0.39116,-0.21501,0.03912,-0.24138,0.71762,-0.45628,-0.04327,-0.05274,-0.00041,-0.00574,0.25652,0.11603,-0.01869,0.12456,0.05873,0.19979,-0.02036,-0.01544,0.21396,-0.01867,-0.06211,0.17833,0.02621,0.0851,0.0241,0.20937,Training
C3a,-0.0384,-47.37281925,-130.4932975,-0.36791,-0.21724,0.10459,-0.23187,0.53163,-0.46139,-0.23577,-0.04959,0.0224,-0.00723,0.25586,0.00292,-0.01043,0.12433,0.02045,0.1796,-0.01803,-0.02413,0.20453,0.00789,-0.05666,0.17907,0.03518,0.083875,0.02233,0.22207,Training
C3b,-0.0458,-45.2840953,-127.9363957,-0.35379,-0.21756,0.11488,-0.2546,0.5364,-0.45945,-0.00496,-0.06334,0.03106,-0.00751,0.26191,-0.00298,-0.0126,0.10814,0.01066,0.16553,-0.0168,-0.02601,0.21444,0.00555,-0.06017,0.1566,0.04364,0.082205,0.02253,0.220275,Training
C4a,-0.0219,-51.1317117,-125.7873665,-0.35325,-0.21574,0.12309,-0.23879,0.3494,-0.46997,-0.2199,-0.05525,0.02611,-0.00636,0.24885,-0.00432,-0.0096,0.13391,0.02431,0.17231,-0.01725,-0.02338,0.20075,0.01523,-0.05184,0.16663,0.04039,0.08071,0.02431,0.22802,Training
C4b,-0.0474,-50.24967747,-121.9618407,-0.34758,-0.21721,0.12226,-0.24572,0.34626,-0.46688,0.01106,-0.07308,0.03425,-0.00666,0.24157,-0.01045,-0.01124,0.11674,0.01505,0.15923,-0.01731,-0.02724,0.19824,0.01729,-0.05267,0.15167,0.05424,0.078795,0.02571,0.226265,Validation
