N1,Nsub,C2,C3,C3sub,C4,C4H1,C4H2,C5,C5sub,C6,Cofactor
2,6,9,7,12,4,18,19,5,11,8,H4b_reduced
3,4,7,6,13,5,20,21,10,24,9,H6a_reduced
4,5,13,14,15,17,34,33,2,1,3,H6b_reduced
4,5,16,17,18,21,34,35,2,1,3,K1a_reduced
4,5,16,17,18,21,37,38,2,1,3,K1b_reduced
6,7,5,4,2,21,39,38,19,20,18,K2a_reduced
4,5,16,17,18,20,31,32,2,1,3,K2b_reduced
4,5,16,17,18,20,34,35,2,1,3,K5a_reduced
4,5,16,17,18,20,36,35,2,1,3,K5b_reduced
4,5,16,17,18,21,32,33,2,1,3,K3a_reduced
4,5,16,17,18,21,36,35,2,1,3,K3b_reduced
4,5,16,17,18,21,36,35,2,1,3,K4a_reduced
4,5,16,17,18,20,32,33,2,1,3,K4b_reduced
4,5,16,17,18,22,37,36,2,1,3,K6a_reduced
4,5,16,17,18,21,42,43,2,1,3,K6b_reduced
7,8,6,5,3,22,40,39,20,21,19,I1a_reduced
4,5,16,17,18,21,44,45,2,1,3,I1b_reduced
4,5,16,17,18,20,42,41,2,1,3,I2a_reduced
6,7,5,4,2,21,46,45,19,20,18,I2b_reduced
4,5,16,17,18,21,41,42,2,1,3,I5a_reduced
4,5,16,17,18,21,40,39,2,1,3,I5b_reduced
4,5,16,17,18,20,39,40,2,1,3,I3a_reduced
4,5,16,17,18,20,38,39,2,1,3,I3b_reduced
4,5,16,17,18,21,42,43,2,1,3,I4a_reduced
4,5,16,17,18,20,43,42,2,1,3,I4b_reduced
4,5,16,17,18,22,44,43,2,1,3,I6a_reduced
7,8,6,5,3,22,46,47,20,21,19,I6b_reduced
