code_name,SMILES,charge,multiplicity,unpaired
A1a_pyridinium,[H]C1C=[N+](C)C=C(C(N)=O)C1,1,1,0
A1b_pyridinium,CC1C=[N+](C)C=C(C(N)=O)C1,1,1,0
A2a_pyridinium,[H]C1C=[N+](C)C=C(C#N)C1,1,1,0
A2b_pyridinium,CC1C=[N+](C)C=C(C#N)C1,1,1,0
A5a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)[O-])C1,0,1,0
A5b_pyridinium,CC1C=[N+](C)C=C(C(=O)[O-])C1,0,1,0
A3a_pyridinium,[H]C1C=[N+](C)C=C(C(C)=O)C1,1,1,0
A3b_pyridinium,CC(=O)C1=C[N+](C)=CC(C)C1,1,1,0
A4a_pyridinium,[H]C1C=[N+](C)C=C(C=O)C1,1,1,0
A4b_pyridinium,CC1C=[N+](C)C=C(C=O)C1,1,1,0
A6a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)OC)C1,1,1,0
A6b_pyridinium,COC(=O)C1=C[N+](C)=CC(C)C1,1,1,0
B1a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(N)=O)C1,1,1,0
B1b_pyridinium,CCCC[N+]1=CC(C)CC(C(N)=O)=C1,1,1,0
B2a_pyridinium,[H]C1C=[N+](CCCC)C=C(C#N)C1,1,1,0
B2b_pyridinium,CCCC[N+]1=CC(C)CC(C#N)=C1,1,1,0
B5a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)[O-])C1,0,1,0
B5b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)[O-])=C1,0,1,0
B3a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(C)=O)C1,1,1,0
B3b_pyridinium,CCCC[N+]1=CC(C)CC(C(C)=O)=C1,1,1,0
B4a_pyridinium,[H]C1C=[N+](CCCC)C=C(C=O)C1,1,1,0
B4b_pyridinium,CCCC[N+]1=CC(C)CC(C=O)=C1,1,1,0
B6a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)OC)C1,1,1,0
B6b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)OC)=C1,1,1,0
D1a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(N)=O)C1,1,1,0
D1b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(N)=O)=C1,1,1,0
D2a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C#N)C1,1,1,0
D2b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C#N)=C1,1,1,0
D5a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(=O)[O-])C1,0,1,0
