,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65008,3.8639,-0.67064,-0.6398,-0.020560000000000023,-0.010279999999999956,-0.01541999999999999,-0.006779266928902296
1,C,2,-0.03006,4.009,0.13364,-0.14473,0.1637,0.11467,0.139185,0.0756204804219095
2,C,3,-0.06101,3.913,-0.0367,-0.11377,0.02431,0.052759999999999994,0.038535,0.03479320264288781
3,N,4,-0.38833,3.4369,-0.19319,-0.39143,0.19514,0.0030999999999999917,0.09912,0.0020443314668868824
4,C,5,-0.21929,3.8672,-0.24157,-0.21557,-0.022279999999999994,-0.003720000000000001,-0.012999999999999998,-0.0024531977602642663
5,C,6,-0.41952,3.9224,-0.41259,-0.4179,0.006929999999999992,-0.0016200000000000103,0.0026549999999999907,-0.0010683280568892838
6,C,7,-0.41982,3.9239,-0.42217,-0.41996,-0.0023499999999999632,0.00013999999999997348,-0.0011049999999999949,9.232464689164842e-05
7,C,8,-0.39917,3.9253,-0.39983,-0.40167,-0.0006599999999999939,0.0025000000000000022,0.0009200000000000041,0.00164865440877975
8,C,9,-0.4326,3.9207,-0.43271,-0.43248,-0.00010999999999999899,-0.00012000000000000899,-0.00011500000000000399,-7.913541162143384e-05
9,C,10,-0.01367,4.0157,-0.01361,-0.01142,5.999999999999929e-05,-0.0022500000000000003,-0.0010950000000000005,-0.0014837889679017737
10,C,11,-0.2387,3.9593,-0.23829,-0.26942,0.0004099999999999937,0.030719999999999997,0.015564999999999996,0.020258665375085545
11,C,12,-0.23198,3.9587,-0.23129,-0.25311,0.0006899999999999962,0.02113000000000001,0.010910000000000003,0.01393442706300644
12,C,13,-0.24856,3.9592,-0.24757,-0.25105,0.0009899999999999909,0.0024899999999999922,0.0017399999999999916,0.0016420597911446242
13,C,14,-0.22485,3.9597,-0.22643,-0.25122,-0.001579999999999998,0.026370000000000005,0.012395000000000003,0.01739000670380879
14,C,15,-0.23716,3.9607,-0.23694,-0.26345,0.00021999999999999797,0.026290000000000008,0.013255000000000003,0.017337249762727838
15,C,16,0.05155,3.9109,0.03419,-0.16657,-0.01736,0.21811999999999998,0.10038,0.14384179985721546
16,C,17,-0.25719,3.9872,-0.02355,-0.34512,0.23363999999999996,0.08793000000000001,0.16078499999999998,0.05798647286560132
17,C,18,0.72555,3.8931,0.70386,0.65457,-0.021689999999999987,0.07098000000000004,0.024645000000000028,0.04680859597407464
18,O,19,-0.84725,1.7072,-0.79603,-0.93105,0.05121999999999993,0.0838000000000001,0.06751000000000001,0.055262895782297226
19,O,20,-0.86002,1.6893,-0.79808,-0.93582,0.061939999999999995,0.07579999999999998,0.06886999999999999,0.04998720167420195
20,C,21,-0.45659,3.9243,-0.52017,-0.44031,-0.06358000000000003,-0.016280000000000017,-0.03993000000000002,-0.010736037509973732
21,H,22,0.22521,0.9503,0.24018,0.21522,0.014970000000000011,0.009989999999999999,0.012480000000000005,0.006588023017483874
22,H,23,0.22111,0.9534,0.25213,0.20041,0.03102000000000002,0.020699999999999996,0.025860000000000008,0.013650858504696314
23,H,24,0.2214,0.9531,0.25145,0.20378,0.030049999999999993,0.017620000000000025,0.02383500000000001,0.011619716273079683
24,H,25,0.22684,0.9505,0.2561,0.20651,0.02925999999999998,0.020330000000000015,0.024794999999999998,0.013406857652196923
25,H,26,0.22256,0.9519,0.24214,0.21406,0.019579999999999986,0.008500000000000008,0.014039999999999997,0.005605424989851149
26,H,27,0.21,0.958,0.25001,0.19857,0.04001000000000002,0.011429999999999996,0.025720000000000007,0.007537647956941006
27,H,28,0.21869,0.9537,0.23613,0.20998,0.01744000000000001,0.008709999999999996,0.013075000000000003,0.00574391196018864
28,H,29,0.21514,0.9549,0.22534,0.21085,0.010200000000000015,0.004289999999999988,0.0072450000000000014,0.0028290909654660403
29,H,30,0.21239,0.9564,0.22054,0.20778,0.008150000000000018,0.004610000000000003,0.006380000000000011,0.003040118729789858
30,H,31,0.21334,0.9569,0.21235,0.21508,-0.0009899999999999909,-0.0017399999999999916,-0.0013649999999999912,-0.0011474634685106992
31,H,32,0.2093,0.9581,0.20915,0.20659,-0.00015000000000001124,0.002710000000000018,0.0012800000000000034,0.001787141379117259
32,H,33,0.21094,0.9571,0.21425,0.20571,0.0033100000000000074,0.005229999999999985,0.004269999999999996,0.0034489850231672232
33,H,34,0.22564,0.9505,0.22731,0.22269,0.0016700000000000048,0.002950000000000008,0.0023100000000000065,0.0019454122023601084
34,H,35,0.21784,0.9544,0.2194,0.21488,0.0015600000000000058,0.002960000000000018,0.002260000000000012,0.001952006819995234
35,H,36,0.22946,0.9487,0.23024,0.22377,0.0007800000000000029,0.005690000000000001,0.0032350000000000018,0.0037523374343827074
36,H,37,0.23145,0.9474,0.23213,0.22659,0.0006800000000000139,0.0048599999999999755,0.0027699999999999947,0.0032049841706678146
37,H,38,0.2325,0.947,0.23321,0.22787,0.0007099999999999884,0.004630000000000023,0.0026700000000000057,0.003053307965060109
38,H,39,0.23322,0.9477,0.23429,0.22626,0.0010699999999999876,0.006960000000000022,0.004015000000000005,0.004589853874042833
39,H,40,0.22967,0.9488,0.23054,0.22439,0.0008699999999999819,0.005280000000000007,0.0030749999999999944,0.0034819581113428332
40,H,41,0.23396,0.9475,0.26391,0.2048,0.029949999999999977,0.02915999999999999,0.029554999999999984,0.01922990502400698
41,H,42,0.20874,0.9603,0.293,0.18712,0.08425999999999997,0.02162,0.05293999999999999,0.014257563327127264
42,H,43,0.20933,0.96,0.29585,0.18839,0.08652000000000001,0.020939999999999986,0.05373,0.013809129327939164
