,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65006,3.8637,-0.67099,-0.64998,-0.020930000000000004,-7.999999999996898e-05,-0.010504999999999987,-5.279399400764077e-05
1,C,2,-0.03182,4.009,0.13414,-0.03258,0.16596,0.0007599999999999968,0.08336,0.0005015429430727797
2,C,3,-0.06156,3.9145,-0.03484,-0.06134,0.026719999999999994,-0.00021999999999999797,0.013249999999999998,-0.00014518348352106708
3,N,4,-0.39169,3.4225,-0.19232,-0.39186,0.19937,0.00017000000000000348,0.09977,0.00011218723726628243
4,C,5,-0.22197,3.8682,-0.24286,-0.22197,-0.020889999999999992,0.0,-0.010444999999999996,0.0
5,C,6,-0.4208,3.9225,-0.41156,-0.42081,0.009240000000000026,1.0000000000010001e-05,0.004625000000000018,6.599249250964255e-06
6,C,7,-0.41378,3.9246,-0.41616,-0.41391,-0.0023799999999999932,0.000130000000000019,-0.0011249999999999871,8.579024026246204e-05
7,C,8,-0.39842,3.9261,-0.39919,-0.4,-0.0007699999999999929,0.0015800000000000258,0.00040500000000001646,0.0010426813816513266
8,C,9,-0.43281,3.9215,-0.43235,-0.43255,0.00045999999999996044,-0.00025999999999998247,9.999999999998899e-05,-0.00017158048052488747
9,C,10,-0.00915,4.0145,-0.00989,0.00096,-0.0007399999999999993,-0.010110000000000001,-0.005425,-0.00667184099271819
10,C,11,-0.23809,3.9573,-0.2377,-0.47041,0.00039000000000000146,0.23232,0.116355,0.15331375859824825
11,C,12,-0.22826,3.9579,-0.22809,-0.39495,0.00017000000000000348,0.16669000000000003,0.08343000000000002,0.11000288576421317
12,C,13,-0.24808,3.9578,-0.24726,-0.25131,0.0008199999999999874,0.003229999999999983,0.002024999999999985,0.0021315575080593113
13,C,14,-0.22896,3.9582,-0.22854,-0.45853,0.0004200000000000037,0.22957,0.114995,0.15149896505423488
14,C,15,-0.23825,3.9593,-0.23757,-0.40276,0.0006799999999999862,0.16451000000000002,0.082595,0.1085642494275044
15,C,16,0.0464,3.9132,0.02862,0.04609,-0.017779999999999997,0.0003099999999999978,-0.008735,0.00020457672677968585
16,C,17,-0.25227,3.9882,-0.0249,-0.25287,0.22737,0.0005999999999999894,0.11398499999999999,0.00039595495505745235
17,C,18,0.71949,3.8948,0.69913,0.71899,-0.020359999999999934,0.0004999999999999449,-0.009929999999999994,0.00032996246254784643
18,O,19,-0.8427,1.71,-0.79312,-0.84385,0.04957999999999996,0.0011499999999999844,0.02536499999999997,0.00075891366386012
19,O,20,-0.85621,1.6929,-0.79592,-0.85544,0.060290000000000066,-0.0007700000000000484,0.02976000000000001,-0.0005081421923237714
20,C,21,-0.45671,3.9248,-0.51868,-0.45658,-0.061970000000000025,-0.000130000000000019,-0.031050000000000022,-8.579024026246204e-05
21,H,22,0.22207,0.9528,0.25165,0.22194,0.029579999999999995,0.00012999999999999123,0.014854999999999993,8.579024026244373e-05
22,H,23,0.22095,0.9535,0.25312,0.22069,0.032170000000000004,0.0002600000000000102,0.016215000000000007,0.0001715804805249058
23,H,24,0.22542,0.9502,0.24048,0.22527,0.01505999999999999,0.00015000000000001124,0.007605000000000001,9.898873876437224e-05
24,H,25,0.22568,0.9509,0.25532,0.2254,0.02964,0.00028000000000000247,0.014960000000000001,0.00018477897902681597
