Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set,dG_C5_pred
BMC_084,-127.4758182,-0.35944,0.09849,-0.25583,-0.00225,0.21699,-0.00549,0.08395,0.22141,Training,-128.30636397085485
BMC_085,-135.1883452,-0.3867,0.09283,-0.24184,-0.2416,0.22793,-0.01749,0.08453,0.22094,Training,-134.41656579157177
BMC_086,-130.999828,-0.3777,0.09281,-0.24773,-0.01196,0.22348,-0.01561,0.082895,0.218745,Training,-130.81800197557615
BMC_091,-130.3073681,-0.37366,0.11362,-0.23859,-0.2271,0.21361,0.00537,0.08308,0.223365,Training,-131.6239672685334
BMC_093,-126.6577383,-0.36596,0.12176,-0.23356,-0.22707,0.18912,0.01511,0.081,0.22799,Training,-127.73384249838925
BMC_094,-123.8408843,-0.35519,0.12605,-0.2445,0.0098,0.19646,0.0159,0.07856,0.22682,Training,-123.59964119394978
BMC_095,-133.2294503,-0.38447,0.10869,-0.25317,-0.23372,0.21917,-0.00793,0.08425,0.223665,Training,-132.02649130335365
BMC_096,-129.3385523,-0.36781,0.09835,-0.25258,-0.01495,0.20257,-0.0032,0.083195,0.21939,Training,-129.57572831048384
BMC_098,-131.8831679,-0.36517,0.08633,-0.24492,-0.01613,0.21953,-0.0139,0.08279,0.217605,Training,-131.33051191481576
BMC_100,-127.8460982,-0.3687,0.11006,-0.2914,-0.00843,0.22059,-0.02182,0.08139,0.22241,Training,-127.94260322045422
BMC_102,-137.2334134,-0.38818,0.05901,-0.2519,-0.02859,0.23256,-0.02131,0.085755,0.209065,Training,-138.16556956089204
BMC_103,-132.1528807,-0.36992,0.12259,-0.24227,-0.22435,0.21637,0.00636,0.08332,0.22309,Training,-131.61992197845584
BMC_105,-126.6705391,-0.36439,0.13725,-0.24477,-0.21638,0.20428,0.01288,0.080625,0.228365,Training,-127.48294477257703
BMC_106,-123.4763476,-0.35279,0.13472,-0.24797,0.01254,0.19808,0.01564,0.078415,0.22662,Training,-123.54699349247275
BMC_110,-129.6773516,-0.38413,0.09433,-0.24456,-0.01049,0.21961,-0.01611,0.08215,0.220375,Training,-129.7656072601476
BMC_111,-131.5836123,-0.38226,0.11034,-0.2797,-0.23854,0.22004,-0.02333,0.08246,0.22558,Training,-130.88338266418168
BMC_112,-127.8794801,-0.37204,0.10271,-0.2778,-0.01919,0.20078,-0.01966,0.080845,0.22245,Training,-127.72109977014378
BMC_113,-142.7549945,-0.39582,0.03647,-0.23127,-0.26407,0.21576,-0.02064,0.084805,0.214785,Training,-139.33479789837685
BMC_114,-138.7314652,-0.39621,0.03975,-0.23742,-0.04152,0.20766,-0.01845,0.084495,0.21049,Training,-137.23356889749687
BMC_115,-132.1195481,-0.37493,0.11285,-0.23759,-0.22728,0.21328,0.00504,0.08309,0.22355,Training,-131.53904084514406
BMC_116,-128.4931359,-0.36424,0.11218,-0.24204,0.00078,0.20766,0.00765,0.081035,0.221485,Training,-127.83075702124542
BMC_117,-127.660983,-0.3677,0.1283,-0.24057,-0.21799,0.20289,0.01278,0.080725,0.228875,Training,-127.34822960606135
BMC_118,-124.5607821,-0.35578,0.12552,-0.24414,0.00968,0.1963,0.01561,0.078645,0.22685,Training,-123.59812115502106
BMC_119,-133.127053,-0.38224,0.10785,-0.25455,-0.23603,0.22204,-0.00829,0.08425,0.22301,Training,-132.53360241393503
BMC_120,-129.9133112,-0.37377,0.10735,-0.25878,-0.00644,0.21525,-0.00608,0.082555,0.221075,Training,-128.7218254575545
BMC_121,-134.2494725,-0.38072,0.08714,-0.2423,-0.24457,0.22791,-0.01689,0.08443,0.220955,Training,-134.4225629716073
BMC_122,-130.7000937,-0.37229,0.08723,-0.24048,-0.02263,0.21538,-0.01412,0.083575,0.217625,Training,-131.46142888226228
BMC_126,-138.0720688,-0.38834,0.05154,-0.25725,-0.03014,0.23359,-0.0217,0.08543,0.208975,Training,-138.3909593493587
BMC_127,-131.2811372,-0.36888,0.10811,-0.23951,-0.22679,0.21286,0.00573,0.083365,0.22388,Training,-131.25136134434482
BMC_128,-127.3583079,-0.35805,0.10669,-0.24373,0.00134,0.20701,0.0081,0.08103,0.222125,Training,-127.34847344507554
BMC_129,-131.5185108,-0.36004,0.12749,-0.26985,-0.21725,0.22557,0.00377,0.08206,0.225735,Training,-129.82136711470739
BMC_132,-128.576783,-0.3646,0.10069,-0.26121,-0.00523,0.2169,-0.00551,0.083275,0.22106,Training,-128.6589175793825
