Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set,dG_C5_pred
A1a,-134.6943374,-0.37334,0.08853,-0.24103,-0.24122,0.2297,-0.01633,0.08503,0.220155,Training,-134.50538322898373
A1b,-131.0621577,-0.36235,0.08923,-0.25018,-0.00889,0.22884,-0.01453,0.083375,0.217495,Training,-131.219229518529
A2a,-130.6636975,-0.36861,0.10712,-0.2804,-0.23767,0.22363,-0.02274,0.08272,0.22491,Training,-131.0677869304677
A2b,-126.8472424,-0.35705,0.10688,-0.29084,-0.00496,0.22391,-0.02158,0.081285,0.22207,Training,-127.93951005628074
A5a,-140.867475,-0.39464,0.0381,-0.23373,-0.26507,0.2211,-0.02079,0.08531,0.213985,Training,-140.19811382835314
A5b,-137.7553888,-0.3854,0.04183,-0.24395,-0.03104,0.22176,-0.0197,0.08427,0.21077,Training,-137.09377385702194
A3a,-131.6128527,-0.35698,0.11019,-0.23959,-0.22151,0.21904,0.00767,0.083475,0.222855,Training,-131.799033602518
A3b,-128.2432712,-0.34575,0.10811,-0.24452,0.00787,0.21414,0.01003,0.0813,0.22082,Training,-128.04607105223752
A4a,-130.8688678,-0.35059,0.12497,-0.24174,-0.21264,0.20818,0.01512,0.08077,0.228515,Training,-127.77767357541687
A4b,-125.567917,-0.33933,0.12198,-0.24521,0.01579,0.20172,0.01754,0.078675,0.226465,Training,-123.90633673474544
A6b,-128.5231382,-0.35208,0.1031,-0.26508,0.00112,0.22522,-0.00368,0.08348,0.219515,Training,-129.54053108403144
B1a,-135.0070946,-0.37957,0.08988,-0.24446,-0.2434,0.22953,-0.01644,0.08504,0.21983,Training,-134.96898539403693
B1b,-132.1550827,-0.36982,0.08982,-0.25097,-0.01302,0.2262,-0.01458,0.083335,0.217485,Training,-131.38589853855206
B2a,-131.5169297,-0.37005,0.10485,-0.27743,-0.24398,0.21678,-0.02204,0.082105,0.22493,Training,-130.78404195774053
B2b,-128.1304803,-0.36756,0.10294,-0.2827,-0.0192,0.20972,-0.02006,0.08151,0.22132,Training,-127.7984605818524
B5b,-137.7867638,-0.38916,0.04694,-0.25284,-0.03258,0.22739,-0.02017,0.08484,0.209615,Training,-138.1929374456128
B3a,-133.1344808,-0.36249,0.12102,-0.25724,-0.22506,0.229,0.00207,0.08372,0.22301,Training,-132.38162058972924
B3b,-128.9028692,-0.35408,0.10828,-0.24444,0.00233,0.2101,0.00974,0.08129,0.220575,Training,-128.2395198802519
B4a,-128.8471929,-0.3607,0.12147,-0.23638,-0.22553,0.19584,0.01577,0.08118,0.227425,Training,-127.87726144133103
B4b,-123.6353216,-0.34925,0.11913,-0.24027,0.00243,0.1897,0.01837,0.07888,0.22547,Training,-124.01140873538489
B6b,-129.9416957,-0.36067,0.10288,-0.26374,-0.00468,0.21957,-0.00395,0.083385,0.21951,Training,-129.4889659656326
D1b,-131.7221079,-0.37024,0.09011,-0.2507,-0.01281,0.22588,-0.01465,0.08331,0.21759,Training,-131.2986911445497
D2b,-128.1207745,-0.36534,0.10698,-0.2894,-0.01007,0.21888,-0.02123,0.08114,0.222255,Training,-127.86278452566054
D5a,-141.4348934,-0.39803,0.04927,-0.24904,-0.26225,0.23301,-0.02228,0.08683,0.211245,Training,-142.1610975701135
D5b,-138.3884581,-0.38929,0.05071,-0.25678,-0.03056,0.23186,-0.02105,0.08532,0.20875,Training,-138.75684363118683
D3a,-132.1570431,-0.36027,0.10694,-0.23546,-0.23006,0.21039,0.00775,0.083145,0.222475,Training,-131.6011646202663
D3b,-129.4574604,-0.35572,0.10647,-0.24477,0.00352,0.20917,0.00929,0.08089,0.22197,Training,-127.66516356595362
D4a,-127.1578868,-0.35897,0.12518,-0.24241,-0.21733,0.20423,0.01485,0.08081,0.22818,Training,-128.0152464295337
D4b,-123.0531269,-0.34743,0.12291,-0.24602,0.01058,0.1979,0.01729,0.07861,0.22624,Training,-124.08418715273416
D6a,-133.0679294,-0.3666,0.10051,-0.25265,-0.23786,0.21876,-0.00571,0.084965,0.221725,Training,-132.6662776979264
C1a,-134.1968375,-0.3751,0.0861,-0.23815,-0.24656,0.2231,-0.01594,0.08469,0.22023,Training,-134.16083396178726
C1b,-130.1276251,-0.36519,0.08625,-0.24497,-0.01644,0.21953,-0.01406,0.08309,0.21767,Training,-130.63503647485197
C2a,-129.2166825,-0.37542,0.10751,-0.28238,-0.23952,0.22261,-0.02283,0.08286,0.22474,Training,-131.39686973614576
C2b,-126.756695,-0.36551,0.10625,-0.28903,-0.00955,0.21926,-0.02126,0.08126,0.222345,Training,-127.8640803852668
