Cofactor,dG_C5,N1_NBO-q,C2_NBO-q,C3_NBO-q,C5_NBO-q,C3_f-,C3sub_f-,C4H_f-,C4H_NBO-q,Set
BMC_001,-134.6943374,-0.37334,0.08853,-0.24103,-0.24122,0.2297,-0.01633,0.08503,0.220155,Validation
BMC_002,-131.0621577,-0.36235,0.08923,-0.25018,-0.00889,0.22884,-0.01453,0.083375,0.217495,Validation
BMC_003,-130.6636975,-0.36861,0.10712,-0.2804,-0.23767,0.22363,-0.02274,0.08272,0.22491,Training
BMC_004,-126.8472424,-0.35705,0.10688,-0.29084,-0.00496,0.22391,-0.02158,0.081285,0.22207,Training
BMC_005,-140.867475,-0.39464,0.0381,-0.23373,-0.26507,0.2211,-0.02079,0.08531,0.213985,Training
BMC_006,-137.7553888,-0.3854,0.04183,-0.24395,-0.03104,0.22176,-0.0197,0.08427,0.21077,Training
BMC_007,-131.6128527,-0.35698,0.11019,-0.23959,-0.22151,0.21904,0.00767,0.083475,0.222855,Training
BMC_008,-128.2432712,-0.34575,0.10811,-0.24452,0.00787,0.21414,0.01003,0.0813,0.22082,Training
BMC_009,-130.8688678,-0.35059,0.12497,-0.24174,-0.21264,0.20818,0.01512,0.08077,0.228515,Training
BMC_010,-125.567917,-0.33933,0.12198,-0.24521,0.01579,0.20172,0.01754,0.078675,0.226465,Training
BMC_012,-128.5231382,-0.35208,0.1031,-0.26508,0.00112,0.22522,-0.00368,0.08348,0.219515,Training
BMC_013,-135.0070946,-0.37957,0.08988,-0.24446,-0.2434,0.22953,-0.01644,0.08504,0.21983,Training
BMC_014,-132.1550827,-0.36982,0.08982,-0.25097,-0.01302,0.2262,-0.01458,0.083335,0.217485,Training
BMC_015,-131.5169297,-0.37005,0.10485,-0.27743,-0.24398,0.21678,-0.02204,0.082105,0.22493,Training
BMC_016,-128.1304803,-0.36756,0.10294,-0.2827,-0.0192,0.20972,-0.02006,0.08151,0.22132,Validation
BMC_017,-140.9289558,-0.39431,0.03814,-0.23592,-0.26888,0.21911,-0.02072,0.085365,0.21349,Training
BMC_018,-137.7867638,-0.38916,0.04694,-0.25284,-0.03258,0.22739,-0.02017,0.08484,0.209615,Training
BMC_019,-133.1344808,-0.36249,0.12102,-0.25724,-0.22506,0.229,0.00207,0.08372,0.22301,Training
BMC_020,-128.9028692,-0.35408,0.10828,-0.24444,0.00233,0.2101,0.00974,0.08129,0.220575,Training
BMC_021,-128.8471929,-0.3607,0.12147,-0.23638,-0.22553,0.19584,0.01577,0.08118,0.227425,Training
BMC_022,-123.6353216,-0.34925,0.11913,-0.24027,0.00243,0.1897,0.01837,0.07888,0.22547,Training
BMC_023,-133.1842389,-0.37166,0.10353,-0.25738,-0.23385,0.22415,-0.00622,0.085475,0.2218,Training
BMC_024,-129.9416957,-0.36067,0.10288,-0.26374,-0.00468,0.21957,-0.00395,0.083385,0.21951,Training
BMC_025,-134.4758378,-0.38016,0.09007,-0.24407,-0.24317,0.22894,-0.01649,0.085025,0.21999,Training
BMC_026,-131.7221079,-0.37024,0.09011,-0.2507,-0.01281,0.22588,-0.01465,0.08331,0.21759,Training
BMC_027,-131.3903008,-0.37548,0.10802,-0.2826,-0.23998,0.22206,-0.02278,0.082675,0.224755,Validation
BMC_028,-128.1207745,-0.36534,0.10698,-0.2894,-0.01007,0.21888,-0.02123,0.08114,0.222255,Training
BMC_029,-141.4348934,-0.39803,0.04927,-0.24904,-0.26225,0.23301,-0.02228,0.08683,0.211245,Training
BMC_030,-138.3884581,-0.38929,0.05071,-0.25678,-0.03056,0.23186,-0.02105,0.08532,0.20875,Training
BMC_031,-132.1570431,-0.36027,0.10694,-0.23546,-0.23006,0.21039,0.00775,0.083145,0.222475,Training
BMC_032,-129.4574604,-0.35572,0.10647,-0.24477,0.00352,0.20917,0.00929,0.08089,0.22197,Training
BMC_033,-127.1578868,-0.35897,0.12518,-0.24241,-0.21733,0.20423,0.01485,0.08081,0.22818,Training
BMC_034,-123.0531269,-0.34743,0.12291,-0.24602,0.01058,0.1979,0.01729,0.07861,0.22624,Training
BMC_035,-133.0679294,-0.3666,0.10051,-0.25265,-0.23786,0.21876,-0.00571,0.084965,0.221725,Training
BMC_037,-134.1968375,-0.3751,0.0861,-0.23815,-0.24656,0.2231,-0.01594,0.08469,0.22023,Training
BMC_038,-130.1276251,-0.36519,0.08625,-0.24497,-0.01644,0.21953,-0.01406,0.08309,0.21767,Training
BMC_039,-129.2166825,-0.37542,0.10751,-0.28238,-0.23952,0.22261,-0.02283,0.08286,0.22474,Training
BMC_040,-126.756695,-0.36551,0.10625,-0.28903,-0.00955,0.21926,-0.02126,0.08126,0.222345,Training
BMC_041,-139.4694081,-0.40352,0.02152,-0.22615,-0.27297,0.21198,-0.02033,0.087415,0.213865,Training
BMC_042,-136.1003039,-0.39116,0.03912,-0.24138,-0.04327,0.21396,-0.01867,0.0851,0.20937,Training
BMC_043,-130.4932975,-0.36791,0.10459,-0.23187,-0.23577,0.20453,0.00789,0.083875,0.22207,Training
BMC_044,-127.9363957,-0.35379,0.11488,-0.2546,-0.00496,0.21444,0.00555,0.082205,0.220275,Training
BMC_045,-125.7873665,-0.35325,0.12309,-0.23879,-0.2199,0.20075,0.01523,0.08071,0.22802,Training
BMC_046,-121.9618407,-0.34758,0.12226,-0.24572,0.01106,0.19824,0.01729,0.078795,0.226265,Validation
BMC_047,-132.3395143,-0.37176,0.10758,-0.26071,-0.23363,0.22759,-0.0074,0.085245,0.22263,Training
BMC_048,-128.7355153,-0.36303,0.09831,-0.25601,-0.01352,0.20969,-0.00311,0.08367,0.21882,Validation
BMC_049,-129.4105786,-0.38255,0.07764,-0.21143,-0.23054,0.19266,-0.01474,0.07533,0.226975,Training
BMC_050,-126.1294028,-0.37333,0.07774,-0.21674,-0.00325,0.19,-0.01335,0.074235,0.224675,Training
BMC_051,-125.8520276,-0.37884,0.10015,-0.25158,-0.22784,0.18769,-0.02,0.073565,0.231175,Training
BMC_052,-122.7560995,-0.36943,0.09923,-0.25689,-0.00085,0.18521,-0.01884,0.07248,0.22892,Training
BMC_053,-134.11683,-0.39266,0.03099,-0.20871,-0.24583,0.19028,-0.01836,0.07629,0.220605,Training
BMC_054,-131.4662701,-0.3845,0.03269,-0.21489,-0.01715,0.18919,-0.01737,0.07506,0.218235,Validation
BMC_055,-127.542198,-0.37436,0.09762,-0.21212,-0.21849,0.18325,0.00441,0.075165,0.228265,Training
BMC_057,-124.3435044,-0.36966,0.1149,-0.21856,-0.21089,0.17459,0.01146,0.07288,0.23307,Training
BMC_058,-120.1858483,-0.35915,0.11377,-0.22242,0.01469,0.17017,0.01344,0.071545,0.23098,Training
BMC_059,-127.8462225,-0.37761,0.0922,-0.22589,-0.22393,0.18894,-0.00662,0.076205,0.228155,Training
BMC_060,-124.5832449,-0.36751,0.09157,-0.23096,0.00277,0.18569,-0.00495,0.07468,0.22603,Training
BMC_061,-130.6885288,-0.38078,0.07993,-0.2187,-0.23458,0.18832,-0.0132,0.071755,0.22507,Training
BMC_062,-126.9890578,-0.3714,0.08033,-0.22464,-0.00635,0.18823,-0.01206,0.071455,0.22268,Training
BMC_063,-126.9296021,-0.37697,0.10176,-0.259,-0.23161,0.18278,-0.01861,0.069625,0.22931,Training
BMC_064,-123.9805984,-0.3673,0.10056,-0.26469,-0.00372,0.18294,-0.01778,0.0693,0.227045,Validation
BMC_065,-135.9924275,-0.39274,0.03425,-0.21735,-0.25181,0.18882,-0.01741,0.07389,0.218165,Training
BMC_066,-133.1865614,-0.38445,0.03591,-0.22373,-0.02205,0.18916,-0.01658,0.07327,0.215675,Training
BMC_068,-126.1384822,-0.35776,0.10965,-0.2392,0.00729,0.18885,0.00418,0.071065,0.225075,Training
BMC_069,-124.3610919,-0.36607,0.11662,-0.22383,-0.21308,0.16827,0.01367,0.06814,0.23174,Training
BMC_070,-121.2346218,-0.35523,0.11504,-0.22757,0.01323,0.16646,0.01552,0.067585,0.22977,Training
