,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.62554,3.8722,-0.6255,-0.62556,4.0000000000040004e-05,2.0000000000020002e-05,3.0000000000030003e-05,1.589350570978011e-05
1,C,2,-0.40148,3.9292,-0.4014,-0.40156,8.00000000000245e-05,7.999999999996898e-05,7.999999999999674e-05,6.357402283903222e-05
2,C,3,-0.39991,3.9317,-0.39986,-0.39988,4.999999999999449e-05,-2.999999999997449e-05,1.0000000000010001e-05,-2.384025856462605e-05
3,C,4,-0.39824,3.9306,-0.3979,-0.39836,0.00034000000000000696,0.00012000000000000899,0.00023000000000000798,9.536103425859243e-05
4,C,5,-0.39624,3.9301,-0.39582,-0.39752,0.00041999999999997595,0.0012800000000000034,0.0008499999999999897,0.0010171843654249125
5,C,6,-0.40904,3.9272,-0.41192,-0.40796,-0.0028799999999999937,-0.0010800000000000254,-0.0019800000000000095,-0.0008582493083272878
6,C,7,-0.41766,3.922,-0.40924,-0.41611,0.008419999999999983,-0.0015499999999999958,0.0034349999999999936,-0.0012317466925067233
7,C,8,-0.21627,3.8602,-0.23506,-0.21017,-0.01879,-0.006099999999999994,-0.012444999999999998,-0.004847519241478081
8,N,9,-0.36107,3.4719,-0.18581,-0.38445,0.17526,0.023380000000000012,0.09932,0.018579508174714376
9,C,10,-0.06796,3.9072,-0.02127,-0.09848,0.04669000000000001,0.03051999999999999,0.038605,0.024253489713100186
10,C,11,-0.00442,4.0091,0.15423,-0.12431,0.15865,0.11989,0.13927,0.09527361997718159
11,C,12,-0.65209,3.8603,-0.67277,-0.64096,-0.02068000000000003,-0.011129999999999973,-0.015905000000000002,-0.008844735927483765
12,C,13,-0.45198,3.9165,-0.51031,-0.43762,-0.05833000000000005,-0.014359999999999984,-0.036345000000000016,-0.011411537099610694
13,C,14,-0.26354,3.9738,-0.04386,-0.30152,0.21968,0.037980000000000014,0.12883,0.030181767342842256
14,C,15,0.73888,3.8575,0.73483,0.59079,-0.004049999999999998,0.14808999999999994,0.07201999999999997,0.11768346302794909
15,O,16,-0.7086,1.8854,-0.6312,-0.84067,0.07740000000000002,0.13207000000000002,0.10473500000000002,0.10495276495442801
16,O,17,-0.49375,2.174,-0.46368,-0.53527,0.03007000000000004,0.04152,0.03579500000000002,0.032994917853470515
17,C,18,-0.29436,3.757,-0.29557,-0.29052,-0.0012099999999999889,-0.00384000000000001,-0.0025249999999999995,-0.003051553096274737
18,C,19,0.1032,3.8989,0.07568,-0.15271,-0.027520000000000003,0.25591,0.114195,0.20336535230928804
19,H,20,0.20765,0.9582,0.20782,0.2075,0.00017000000000000348,0.00015000000000001124,0.00016000000000000736,0.00011920129282324055
20,H,21,0.20771,0.9582,0.20778,0.20763,6.999999999998674e-05,7.999999999999674e-05,7.499999999999174e-05,6.357402283905427e-05
21,H,22,0.21492,0.9546,0.21512,0.21477,0.00020000000000000573,0.00015000000000001124,0.00017500000000000848,0.00011920129282324055
22,H,23,0.19989,0.962,0.20009,0.1998,0.00019999999999997797,9.000000000000674e-05,0.00014499999999999236,7.152077569394433e-05
23,H,24,0.19998,0.962,0.2,0.20002,2.0000000000020002e-05,-4.000000000001225e-05,-9.999999999996123e-06,-3.1787011419538166e-05
24,H,25,0.19884,0.9627,0.19919,0.19855,0.00035000000000001696,0.0002899999999999847,0.00032000000000000084,0.00023045583279156898
25,H,26,0.19879,0.9627,0.19934,0.19835,0.0005499999999999949,0.00043999999999999595,0.0004949999999999954,0.00034965712561480953
26,H,27,0.19956,0.9624,0.20044,0.19905,0.0008800000000000197,0.0005099999999999827,0.0006950000000000012,0.0004052843955989737
