,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,H,1,0.23262,0.9468,0.26143,0.21104,0.028810000000000002,0.021579999999999988,0.025194999999999995,0.017708613561672738
1,C,2,-0.24385,3.956,-0.06017,-0.38147,0.18368,0.13761999999999996,0.16065,0.11293139009997231
2,C,3,-0.04604,3.9073,-0.01319,-0.08373,0.03285,0.03769,0.035269999999999996,0.03092852850507163
3,N,4,-0.37367,3.4627,-0.18752,-0.38578,0.18615,0.01211000000000001,0.09913000000000001,0.009937502791096252
4,C,5,-0.21709,3.8588,-0.2361,-0.21019,-0.01901,-0.006900000000000017,-0.012955000000000008,-0.005662160962722069
5,C,6,-0.42225,3.9213,-0.41493,-0.4243,0.007319999999999993,0.0020499999999999963,0.004684999999999995,0.0016822362280551003
6,C,7,-0.43878,3.9242,-0.44173,-0.438,-0.002950000000000008,-0.0007800000000000029,-0.0018650000000000055,-0.0006400703696990173
7,C,8,-0.07439,3.8433,-0.07348,-0.07522,0.0009099999999999941,0.0008299999999999974,0.0008699999999999958,0.0006811005216027958
8,O,9,-0.76425,1.7626,-0.76295,-0.76518,0.0012999999999999678,0.0009299999999999864,0.0011149999999999771,0.0007631608254103527
9,C,10,0.10327,3.8999,0.08047,-0.16165,-0.0228,0.26492,0.12106,0.2173941568470039
10,C,11,-0.25268,3.9787,-0.03626,-0.30281,0.21642,0.05013000000000001,0.133275,0.04113683029873285
11,C,12,0.74174,3.8558,0.73534,0.60761,-0.006399999999999961,0.13412999999999997,0.063865,0.11006748549708827
12,O,13,-0.71115,1.8841,-0.62916,-0.83525,0.0819899999999999,0.1241000000000001,0.103045,0.1018368370251895
13,O,14,-0.48567,2.1946,-0.45883,-0.52842,0.026839999999999975,0.04275000000000001,0.03479499999999999,0.03508077987773448
14,C,15,-0.29617,3.7548,-0.29698,-0.2925,-0.0008100000000000329,-0.0036700000000000066,-0.0022400000000000198,-0.003011613149737678
15,C,16,-0.45596,3.9128,-0.51435,-0.44309,-0.05839,-0.012869999999999993,-0.035629999999999995,-0.01056116110003374
16,H,17,0.23719,0.945,0.26637,0.21546,0.029179999999999984,0.02173,0.02545499999999999,0.017831704017384094
17,H,18,0.22297,0.952,0.24587,0.21048,0.022900000000000004,0.012490000000000001,0.017695000000000002,0.010249331945564997
18,H,19,0.22456,0.9511,0.25394,0.20598,0.02937999999999999,0.018580000000000013,0.02398,0.015246804447445776
19,H,20,0.22452,0.9514,0.24342,0.21608,0.0189,0.008440000000000003,0.013670000000000002,0.006925889641358574
20,H,21,0.21302,0.9565,0.22349,0.20835,0.010470000000000007,0.00466999999999998,0.007569999999999993,0.0038322161878133164
21,H,22,0.22419,0.9511,0.22507,0.22428,0.0008799999999999919,-9.000000000000674e-05,0.0003949999999999926,-7.385427342681495e-05
22,H,23,0.21207,0.9571,0.21729,0.20889,0.005220000000000002,0.003180000000000016,0.004200000000000009,0.0026095176610806126
23,H,24,0.17038,0.9731,0.17245,0.16941,0.0020699999999999885,0.0009699999999999986,0.0015199999999999936,0.0007959849469333892
24,H,25,0.17622,0.9706,0.17936,0.17452,0.003140000000000004,0.0016999999999999793,0.0024199999999999916,0.0013950251647286054
25,H,26,0.49853,0.7533,0.4996,0.49783,0.0010700000000000154,0.0006999999999999784,0.0008849999999999969,0.0005744221266529444
26,H,27,0.24412,0.9422,0.2732,0.20734,0.029079999999999995,0.03678000000000001,0.03293,0.030181779740422788
27,H,28,0.20083,0.9614,0.20823,0.1861,0.00739999999999999,0.01473000000000002,0.011065000000000005,0.012087482750854492
28,H,29,0.20084,0.9614,0.20821,0.18605,0.007370000000000015,0.014789999999999998,0.011080000000000007,0.012136718933139012
29,H,30,0.21112,0.9561,0.21709,0.20012,0.005970000000000003,0.01100000000000001,0.008485000000000006,0.00902663341883227
30,H,31,0.22329,0.9522,0.30603,0.20081,0.08274000000000004,0.02248,0.05261000000000002,0.01844715629594084
31,H,32,0.22048,0.9538,0.30878,0.19723,0.08829999999999999,0.02325000000000002,0.055775000000000005,0.019079020635259115
