,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,C,1,-0.65066,3.8601,-0.67364,-0.63831,-0.02298,-0.012349999999999972,-0.017664999999999986,-0.009702999052560337
1,C,2,-0.02127,4.008,0.15537,-0.15436,0.17664000000000002,0.13308999999999999,0.154865,0.10456454606520307
2,C,3,-0.05257,3.904,-0.01243,-0.09704,0.040139999999999995,0.04447,0.042305,0.03493865326861208
3,N,4,-0.37029,3.4584,-0.18892,-0.38111,0.18137,0.010819999999999996,0.096095,0.008500927105158141
4,C,5,-0.22491,3.8569,-0.24339,-0.21767,-0.018479999999999996,-0.0072399999999999964,-0.012859999999999996,-0.005688235881824855
5,C,6,-0.41504,3.9182,-0.4091,-0.41736,0.005940000000000001,0.0023199999999999887,0.004129999999999995,0.0018227496195902771
6,C,7,-0.44503,3.9166,-0.44745,-0.4441,-0.0024200000000000332,-0.0009299999999999864,-0.0016750000000000098,-0.0007306711837150608
7,C,8,-0.01651,4.016,-0.02106,-0.01318,-0.0045499999999999985,-0.0033299999999999996,-0.003939999999999999,-0.002616274238463643
8,C,9,-0.23247,3.959,-0.23373,-0.2316,-0.0012599999999999834,-0.0008700000000000097,-0.0010649999999999965,-0.0006835311073463648
9,C,10,-0.22968,3.9577,-0.22767,-0.23408,0.002009999999999984,0.004400000000000015,0.0032049999999999995,0.0034569389337057266
10,C,11,-0.24549,3.9574,-0.24265,-0.24826,0.002840000000000009,0.0027699999999999947,0.002805000000000002,0.0021763001923556387
11,C,12,-0.22702,3.9579,-0.22479,-0.22956,0.0022300000000000098,0.0025399999999999867,0.0023849999999999982,0.0019955965662755613
12,C,13,-0.23856,3.9575,-0.23667,-0.24334,0.0018900000000000028,0.0047800000000000065,0.0033350000000000046,0.003755492750707577
13,C,14,0.10186,3.9014,0.08097,-0.17018,-0.020890000000000006,0.27204,0.125575,0.2137331062557506
14,C,15,-0.27937,3.96,-0.07252,-0.37203,0.20685,0.09266000000000002,0.14975500000000003,0.07279999127208445
15,C,16,0.32372,3.993,0.30373,0.25524,-0.019990000000000008,0.06847999999999999,0.02424499999999999,0.053802540495492567
16,N,17,-0.47002,2.9845,-0.3419,-0.64567,0.12812,0.17564999999999997,0.151885,0.13800257356941106
17,C,18,-0.43711,3.9096,-0.49391,-0.41989,-0.05680000000000002,-0.017220000000000013,-0.037010000000000015,-0.013529201917821011
18,H,19,0.22617,0.9508,0.25868,0.20501,0.03251000000000001,0.021160000000000012,0.02683500000000001,0.016624733599366583
19,H,20,0.22992,0.9481,0.24578,0.21844,0.015859999999999985,0.011480000000000018,0.013670000000000002,0.009019467945214014
20,H,21,0.22587,0.9509,0.25991,0.20342,0.03403999999999999,0.022449999999999998,0.028244999999999992,0.01763824524129393
21,H,22,0.23634,0.9459,0.26657,0.21307,0.03022999999999998,0.023269999999999985,0.026749999999999982,0.018282492951666347
22,H,23,0.22535,0.9507,0.25583,0.20376,0.030480000000000007,0.021589999999999998,0.026035000000000003,0.01696257081334236
23,H,24,0.22631,0.9505,0.24741,0.21333,0.02109999999999998,0.01298000000000002,0.01704,0.010197969854431874
24,H,25,0.22271,0.9515,0.23308,0.21797,0.010370000000000018,0.004739999999999994,0.007555000000000006,0.0037240660331284243
25,H,26,0.22591,0.9502,0.24478,0.21661,0.018869999999999998,0.009300000000000003,0.014085,0.007306711837150717
26,H,27,0.22478,0.9512,0.22578,0.2243,0.0010000000000000009,0.0004800000000000082,0.0007400000000000045,0.00037712061094972077
27,H,28,0.23707,0.9451,0.24488,0.23163,0.007809999999999984,0.00544,0.006624999999999992,0.0042740335907634295
28,H,29,0.2317,0.9477,0.2322,0.23104,0.0005000000000000004,0.0006599999999999939,0.0005799999999999972,0.0005185408400558524
29,H,30,0.23269,0.9468,0.2337,0.23159,0.0010099999999999831,0.0011000000000000176,0.0010550000000000004,0.0008642347334264425
30,H,31,0.23291,0.9466,0.23391,0.23184,0.0010000000000000009,0.0010700000000000154,0.0010350000000000081,0.0008406646952420836
31,H,32,0.23226,0.947,0.23335,0.23113,0.0010900000000000076,0.0011299999999999921,0.0011099999999999999,0.0008878047716107796
32,H,33,0.23109,0.948,0.23216,0.22997,0.0010700000000000154,0.0011199999999999821,0.0010949999999999988,0.000879948092215986
33,H,34,0.24626,0.9406,0.27505,0.2061,0.02879000000000001,0.04016,0.034475000000000006,0.03155242444945943
34,H,35,0.22055,0.9545,0.30455,0.19533,0.08399999999999999,0.025219999999999992,0.05460999999999999,0.019814545433649567
35,H,36,0.22255,0.9533,0.30216,0.19794,0.07960999999999999,0.024609999999999993,0.05210999999999999,0.019335287990567638
