,element,idx,q_NPA,WBOs,ox_q_NPA,red_q_NPA,f-,f+,frad,mu+
0,O,1,-0.74346,1.819,-0.67832,-0.86574,0.06513999999999998,0.12227999999999994,0.09370999999999996,0.09672865663665589
1,N,2,-0.3789,3.4508,-0.18537,-0.38967,0.19353,0.010770000000000002,0.10215,0.008519525940274653
2,N,3,-0.81659,3.0389,-0.77532,-0.87206,0.04127000000000003,0.05546999999999991,0.04836999999999997,0.04387911828291868
3,C,4,-0.21729,3.8616,-0.23758,-0.21137,-0.020290000000000002,-0.005920000000000009,-0.013105000000000006,-0.00468297061898106
4,C,5,-0.42064,3.9232,-0.41178,-0.41854,0.008860000000000035,-0.0020999999999999908,0.003380000000000022,-0.0016611889020034067
5,C,6,-0.41242,3.9257,-0.4152,-0.41205,-0.0027800000000000047,-0.00036999999999998145,-0.001574999999999993,-0.00029268566368630117
6,C,7,0.08099,3.9101,0.05923,-0.16767,-0.02176000000000001,0.24866000000000002,0.11345000000000001,0.19670058684389
7,C,8,-0.45622,3.9174,-0.51514,-0.44258,-0.05892000000000003,-0.013640000000000041,-0.036280000000000034,-0.01078981743967935
8,C,9,-0.23684,3.9837,-0.01285,-0.30217,0.22399,0.06533,0.14466,0.051678795698991926
9,C,10,-0.0505,3.9104,-0.02035,-0.09837,0.030150000000000003,0.047869999999999996,0.03901,0.03786719654233497
10,C,11,-0.24373,3.9564,-0.06492,-0.38207,0.17881,0.13834000000000002,0.15857500000000002,0.10943279652531064
11,C,12,-0.6236,3.8707,-0.62294,-0.62523,0.0006599999999999939,0.0016299999999999093,0.0011449999999999516,0.0012893990048882926
12,C,13,0.62308,3.9032,0.60744,0.50485,-0.015639999999999987,0.11822999999999995,0.05129499999999998,0.09352493518279217
13,H,14,0.22215,0.9523,0.24449,0.20849,0.022340000000000027,0.013659999999999978,0.018000000000000002,0.010805638286365047
14,H,15,0.22097,0.9528,0.2526,0.20792,0.03162999999999999,0.013050000000000006,0.02234,0.010323102462449793
15,H,16,0.21107,0.9573,0.22164,0.206,0.010569999999999996,0.005070000000000019,0.007820000000000008,0.004010584634836829
16,H,17,0.21948,0.9535,0.23845,0.20815,0.018969999999999987,0.011330000000000007,0.015149999999999997,0.008962509647475568
17,H,18,0.20478,0.9599,0.21017,0.20133,0.005390000000000006,0.003449999999999981,0.004419999999999993,0.002729096053291308
18,H,19,0.20737,0.959,0.20809,0.20895,0.0007199999999999984,-0.001579999999999998,-0.0004299999999999998,-0.0012498468881739957
19,H,20,0.23386,0.9471,0.26309,0.19778,0.029229999999999978,0.03608,0.03265499999999999,0.02854080742108723
20,H,21,0.22304,0.9523,0.30102,0.2007,0.07798000000000002,0.02234,0.05016000000000001,0.017671885747979177
21,H,22,0.21597,0.9563,0.30936,0.19187,0.09339000000000003,0.024099999999999983,0.058745000000000006,0.019064120256324882
22,H,23,0.2357,0.9457,0.26432,0.21352,0.028620000000000007,0.022180000000000005,0.025400000000000006,0.017545318974493206
23,H,24,0.23135,0.9474,0.25988,0.20917,0.02853,0.022180000000000005,0.025355000000000003,0.017545318974493206
24,H,25,0.21636,0.954,0.21974,0.21459,0.003379999999999994,0.0017699999999999938,0.002574999999999994,0.001400144931688587
25,H,26,0.20882,0.9577,0.21149,0.20648,0.0026700000000000057,0.0023400000000000087,0.0025050000000000072,0.0018510390622323827
26,H,27,0.20953,0.9574,0.21153,0.20803,0.0020000000000000018,0.0015000000000000013,0.0017500000000000016,0.0011865635014310112
27,H,28,0.42004,0.8254,0.4334,0.4003,0.013359999999999983,0.019740000000000035,0.01655000000000001,0.015615175678832121
28,H,29,0.41561,0.8284,0.42382,0.39939,0.008209999999999995,0.016219999999999957,0.012214999999999976,0.01283070666214062
